sample_id,job,status,reason,Fcm_MPa,c_nom_bottom_mm,c_nom_top_mm,E_MPa,seed,present_ld,present_damage,n_points,n_points_finite,t_final,t_frac_of_target,reached_full_step,U2_max_abs,U2_final,peak_RF2,U2_at_peak,n_points_after_peak,RF2_final,postpeak_drop_frac_max,postpeak_drop_frac_final,softening_captured,k0_N_per_mm,n_pts_for_k0,damage_final,damage_max,damage_U2_at_half_max,damage_at_U2_10mm,damage_monotone,damage_n_points,damage_t_final,n_nan,n_dup_time,n_dup_rows_exact,time_monotone,U2_monotone,damage_n_nan
233,sample_233,valid,reached t=1.000 (>=95% of target); softening captured,24.36203662790272,26.389687683741062,212.9002000710992,28736.69101625708,42,True,True,7234.0,7234.0,1.0,1.0,True,20.0,20.0,29236.380859375,9.4297513961792,3438.0,22805.06640625,0.2297023714367006,0.2199764219812016,True,12817.071017167787,143.0,0.9470000267028807,0.9470000267028807,7.500259876251221,0.9470000267028807,True,200.0,1.0,0.0,0.0,0.0,True,True,0.0
234,sample_234,missing,no rows in load_displacement_full.csv,26.735165968592167,29.09786636712593,210.65956964679836,29549.323741117263,42,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,sample_235,valid,reached t=1.000 (>=95% of target); softening captured,26.158045936523,25.746381630570166,221.83705699358677,29356.499612024432,42,True,True,8513.0,8513.0,1.0,1.0,True,20.0,20.0,37576.23046875,13.225323677062988,1823.0,28774.048828125,0.2612729955720221,0.23424866014554788,True,11698.92951631187,244.0,0.9470000267028807,0.9470000267028807,6.8013596534729,0.9470000267028807,True,200.0,1.0,0.0,0.0,0.0,True,True,0.0
236,sample_236,missing,no rows in load_displacement_full.csv,29.475857126130517,24.380755812118668,220.0487756291203,30427.24375356908,42,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,sample_237,missing,no rows in load_displacement_full.csv,25.23832813006225,28.911237895228084,222.6895253228204,29042.958585483622,42,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,sample_238,valid,reached t=1.000 (>=95% of target); softening captured,25.712349485236214,23.39175793989917,223.9276659284115,29205.53791224869,42,True,True,7701.0,7701.0,1.0,1.0,True,20.0,20.0,33825.875,8.22237491607666,4594.0,19931.34765625,0.704919576636968,0.41076623572191406,True,15457.527918556389,36.0,0.9470000267028807,0.9470000267028807,8.700002670288086,0.9470000267028807,True,200.0,1.0,0.0,0.0,0.0,True,True,0.0
239,sample_239,valid,reached t=1.000 (>=95% of target); softening captured,27.824457917552568,25.12392265439936,223.81971035580543,29905.474282121675,42,True,True,8034.0,8034.0,1.0,1.0,True,20.0,20.0,36324.046875,10.155372619628906,3945.0,21912.5703125,0.4868939588487138,0.3967475488646252,True,14081.194657140455,127.0,0.9470000267028807,0.9470000267028807,7.901452541351318,0.9470000267028807,True,200.0,1.0,0.0,0.0,0.0,True,True,0.0
240,sample_240,valid,reached t=1.000 (>=95% of target); softening captured,26.017155166553515,26.55787158055888,228.2341367501276,29308.974493244372,42,True,True,8105.0,8105.0,1.0,1.0,True,20.0,20.0,35640.51171875,8.353652954101562,5057.0,19512.048828125,0.7297105339330868,0.45253174303162513,True,15178.256099560094,60.0,0.9470000267028807,0.9470000267028807,9.100027084350586,0.9470000267028807,True,200.0,1.0,0.0,0.0,0.0,True,True,0.0
241,sample_241,missing,no rows in load_displacement_full.csv,30.831633200106804,32.42576439999132,223.91240416119552,30840.516303768152,42,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,sample_242,valid,reached t=1.000 (>=95% of target); softening captured,25.87626496658038,28.31838251478904,225.82351650049628,29261.269070719343,42,True,True,9519.0,9519.0,1.0,1.0,True,20.0,20.0,35597.20703125,8.292203903198242,6530.0,20121.759765625,0.7215211209183481,0.43473768186474426,True,15533.627591618373,47.0,0.9470000267028807,0.9470000267028807,8.900339126586914,0.9470000267028807,True,200.0,1.0,0.0,0.0,0.0,True,True,0.0
